name,artist,album,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Rock N Roll (feat. Kanye West & Kid Cudi),Pusha T,It's Almost Dry,2022-04-22,58,0.687,0.783,0,-4.573,1,0.191,0.0526,0.0,0.0718,0.359,156.141,233923,4
The Games We Play,Pusha T,DAYTONA,2018-05-25,62,0.694,0.796,5,-3.696,1,0.198,0.0713,0.0163,0.096,0.592,78.033,166120,4
What Would Meek Do?,Pusha T,DAYTONA,2018-05-25,56,0.678,0.636,1,-3.155,1,0.0782,0.0064,8.38e-06,0.177,0.0636,83.071,153267,4
Memories (feat. Kid Cudi),David Guetta,One More Love,2010-11-22,56,0.561,0.852,8,-6.871,1,0.251,0.00145,5.92e-06,0.274,0.402,129.971,209227,4
Marijuana,Kid Cudi,Man On The Moon II: The Legend Of Mr. Rager,2010-11-09,61,0.673,0.403,8,-9.809,0,0.0273,0.829,0.829,0.272,0.54,140.986,260200,4
Erase Me - Main,Kid Cudi,Man On The Moon II: The Legend Of Mr. Rager,2010-11-09,73,0.687,0.631,9,-5.612,1,0.129,0.063,0.0,0.108,0.853,186.071,192253,4
Lyfestylë (with Lil Wayne),Yeat,2093,2024-02-16,74,0.706,0.498,10,-8.561,1,0.126,0.145,0.0,0.0733,0.252,76.977,236883,4
Stand On It (with Future),Yeat,2093,2024-02-16,76,0.584,0.593,10,-9.614,0,0.138,0.00407,0.000849,0.226,0.319,149.972,180800,4
Breathe,Yeat,2093,2024-02-16,85,0.771,0.541,11,-13.0,1,0.0612,0.0275,0.881,0.105,0.106,118.064,170847,4
Don't Forget 'Em (Remix) [feat. Kanye West],Consequence,Don't Forget 'Em (Remix) [feat. Kanye West],2016-06-19,52,0.747,0.867,7,-7.861,1,0.233,0.505,0.0,0.213,0.6,101.417,255660,4
Life Of The Party (with André 3000),Kanye West,Life Of The Party,2021-08-20,61,0.43,0.717,2,-6.676,1,0.275,0.136,0.0,0.972,0.302,78.881,391656,4
Homecoming,Kanye West,Graduation,2007-09-11,87,0.667,0.747,1,-7.059,1,0.189,0.337,0.0,0.115,0.918,86.917,203493,4
Flashing Lights,Kanye West,Graduation,2007-09-11,90,0.639,0.628,6,-7.578,0,0.0399,0.0381,0.0,0.386,0.43,90.482,237507,4
Everything I Am,Kanye West,Graduation,2007-09-11,78,0.631,0.623,8,-6.969,1,0.265,0.463,1.7e-06,0.151,0.765,80.23,227893,4
Can't Tell Me Nothing,Kanye West,Graduation,2007-09-11,84,0.596,0.62,5,-6.133,0,0.039,0.0122,0.0,0.82,0.102,80.029,271600,4
Good Life,Kanye West,Graduation,2007-09-11,80,0.439,0.808,1,-6.881,1,0.346,0.00305,0.0,0.439,0.487,82.962,207000,4
I Wonder,Kanye West,Graduation,2007-09-11,88,0.542,0.466,0,-8.665,1,0.0831,0.141,0.000445,0.125,0.124,191.385,243440,4
Champion,Kanye West,Graduation,2007-09-11,78,0.693,0.504,6,-8.306,1,0.238,0.00299,0.0,0.695,0.723,102.139,167600,4
Stronger,Kanye West,Graduation,2007-09-11,85,0.617,0.717,10,-7.858,0,0.153,0.00564,0.0,0.408,0.49,103.992,311867,4
Good Morning,Kanye West,Graduation,2007-09-11,77,0.48,0.631,7,-5.488,1,0.116,0.0791,0.000105,0.149,0.515,84.164,195093,4
Gone,Kanye West,Late Registration,2005-08-30,60,0.842,0.668,1,-6.043,1,0.26,0.015,0.0,0.0699,0.345,92.703,333293,4
Roses,Kanye West,Late Registration,2005-08-30,68,0.723,0.465,3,-6.454,0,0.0952,0.259,2.7e-05,0.108,0.513,97.702,245867,4
My Way Home,Kanye West,Late Registration,2005-08-30,61,0.593,0.596,8,-10.488,1,0.0408,0.33,0.0,0.0976,0.776,86.965,103373,4
WAKE UP,Travis Scott,ASTROWORLD,2018-08-03,71,0.741,0.645,11,-5.116,0,0.0963,0.192,0.0,0.163,0.488,149.07,231964,4
ASTROTHUNDER,Travis Scott,ASTROWORLD,2018-08-03,80,0.7,0.46,4,-8.111,0,0.0661,0.142,4.81e-05,0.111,0.286,151.901,142969,4
YOSEMITE,Travis Scott,ASTROWORLD,2018-08-03,77,0.785,0.554,0,-6.571,1,0.0409,0.283,3.4e-06,0.116,0.144,128.047,150043,4
SKELETONS,Travis Scott,ASTROWORLD,2018-08-03,79,0.46,0.686,0,-5.948,0,0.0367,0.00146,0.0,0.375,0.252,148.054,145588,4
Pray 4 Love (feat. The Weeknd),Travis Scott,Rodeo,2015-09-04,69,0.629,0.578,1,-4.704,1,0.0428,0.2,0.0,0.151,0.211,79.94,307000,4
Hold My Liquor,Kanye West,Yeezus,2013-06-18,68,0.497,0.322,8,-10.358,1,0.0333,0.0194,7.72e-06,0.115,0.04,106.976,326947,4
Public Service Announcement (Interlude),JAY-Z,The Black Album,2003-11-14,62,0.446,0.96,1,-1.144,1,0.619,0.37,4.09e-06,0.493,0.443,177.025,173000,4
Dirt Off Your Shoulder,JAY-Z,The Black Album,2003-11-14,67,0.78,0.657,1,-7.149,1,0.317,0.0321,2.56e-06,0.339,0.648,163.969,245173,4
So Sophisticated,Rick Ross,"God Forgives, I Don't (Deluxe Edition)",2012-01-01,51,0.638,0.863,2,-5.891,1,0.309,0.023,0.0,0.628,0.516,153.954,247267,4
Freeee (Ghost Town Pt. 2),KIDS SEE GHOSTS,KIDS SEE GHOSTS,2018-06-08,61,0.334,0.81,9,-4.855,0,0.0632,0.00457,0.0,0.158,0.306,151.643,206605,4
Fire,KIDS SEE GHOSTS,KIDS SEE GHOSTS,2018-06-08,63,0.709,0.751,6,-3.801,1,0.16,0.472,4.71e-06,0.182,0.37,104.999,140527,4
FourFiveSeconds,Rihanna,FourFiveSeconds,2015-01-24,83,0.582,0.272,2,-5.662,1,0.0501,0.875,0.0,0.13,0.354,205.846,188238,4
Two Words,Kanye West,The College Dropout,2004-02-10,66,0.442,0.807,6,-4.753,1,0.265,0.0158,6.43e-06,0.217,0.446,84.649,266213,4
Family Business,Kanye West,The College Dropout,2004-02-10,70,0.744,0.524,1,-7.452,1,0.21,0.139,0.0,0.392,0.606,93.691,278893,4
The New Workout Plan,Kanye West,The College Dropout,2004-02-10,67,0.704,0.792,2,-4.831,1,0.198,0.00981,0.0,0.365,0.646,118.022,322800,4
Never Let Me Down,Kanye West,The College Dropout,2004-02-10,66,0.459,0.816,11,-4.872,0,0.403,0.423,0.0,0.169,0.643,80.293,324440,4
Spaceship,Kanye West,The College Dropout,2004-02-10,70,0.507,0.753,5,-5.31,0,0.19,0.503,0.0,0.573,0.657,178.068,324227,3
Slow Jamz,Kanye West,The College Dropout,2004-02-10,77,0.559,0.733,2,-5.659,0,0.171,0.314,0.0,0.284,0.611,145.115,316053,4
Don't Cry,J Dilla,Donuts,2006-02-07,61,0.23,0.772,1,-6.349,1,0.342,0.054,0.000138,0.644,0.589,173.377,119387,5
WAIT FOR U (feat. Drake & Tems),Future,I NEVER LIKED YOU,2022-04-29,85,0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,189893,4
KEEP IT BURNIN (feat. Kanye West),Future,I NEVER LIKED YOU,2022-04-29,58,0.652,0.578,0,-6.187,1,0.161,0.00861,0.0,0.285,0.195,87.395,207213,4
All Of The Lights (Interlude),Kanye West,My Beautiful Dark Twisted Fantasy,2010-11-22,65,0.296,0.0792,10,-16.569,0,0.0389,0.902,0.591,0.128,0.496,110.95,62253,3
I'm In It,Kanye West,Yeezus,2013-06-18,61,0.485,0.604,1,-4.591,1,0.345,0.141,0.0,0.0668,0.45,170.337,234853,4
TALKING,Kanye West,VULTURES 1,2024-02-09,80,0.47,0.454,9,-9.567,1,0.135,0.417,1.74e-06,0.207,0.34,148.383,185111,4
All Day,Kanye West,All Day,2015-03-02,63,0.861,0.651,9,-4.718,0,0.111,0.0739,0.0,0.211,0.421,122.985,310907,4
New Slaves,Kanye West,Yeezus,2013-06-18,69,0.506,0.59,1,-4.322,1,0.076,0.165,1.09e-05,0.096,0.359,141.099,256093,4
KING,Kanye West,VULTURES 1,2024-02-09,77,0.508,0.963,11,-6.508,0,0.0873,0.0032,0.000545,0.199,0.48,153.082,156863,4
BEG FORGIVENESS,Kanye West,VULTURES 1,2024-02-09,79,0.498,0.275,1,-10.626,0,0.0584,0.188,0.00196,0.168,0.0432,105.303,368740,1
CARNIVAL,Kanye West,VULTURES 1,2024-02-09,86,0.596,0.81,1,-5.745,1,0.152,0.192,0.0,0.338,0.29,148.241,264324,4
FUK SUMN,Kanye West,VULTURES 1,2024-02-09,83,0.775,0.817,4,-2.825,0,0.147,0.132,0.0,0.053,0.463,142.092,209577,4
DO IT,Kanye West,VULTURES 1,2024-02-09,81,0.83,0.69,1,-5.87,1,0.0831,0.188,0.0,0.0795,0.622,107.016,225000,4
BACK TO ME,Kanye West,VULTURES 1,2024-02-09,83,0.815,0.788,1,-7.216,1,0.0884,0.00104,0.0,0.0613,0.336,95.66,295472,4
PAID,Kanye West,VULTURES 1,2024-02-09,81,0.79,0.691,10,-6.992,0,0.221,0.11,0.0,0.296,0.436,120.162,195118,4
BURN,Kanye West,VULTURES 1,2024-02-09,83,0.594,0.885,4,-6.21,0,0.394,0.0158,6.29e-06,0.856,0.735,105.017,111458,4
Praise Jah In The Moonlight,YG Marley,Praise Jah In The Moonlight,2023-12-27,95,0.66,0.727,6,-4.028,0,0.0441,0.128,1.31e-05,0.524,0.418,125.023,263040,4
aruarian dance,Nujabes,samurai champloo music record departure,2004-06-23,67,0.585,0.652,6,-8.357,1,0.0358,0.78,0.907,0.0653,0.877,198.448,250433,4
Feather (feat. Cise Starr & Akin from CYNE),Nujabes,Modal Soul,2005-11-11,68,0.565,0.749,10,-6.629,0,0.0769,0.655,0.432,0.106,0.881,180.598,175360,4
Borderline,Tame Impala,The Slow Rush,2020-02-14,85,0.621,0.873,5,-3.067,0,0.0369,0.0406,9.1e-06,0.0824,0.873,97.96,237800,4
Let It Happen,Tame Impala,Currents,2015-07-17,82,0.602,0.881,1,-5.875,0,0.0443,0.00462,0.0266,0.111,0.577,125.012,467587,4
One More Hour,Tame Impala,The Slow Rush,2020-02-14,76,0.647,0.398,4,-8.63,1,0.0283,0.108,0.107,0.148,0.32,102.029,432560,4
Blame Game,Kanye West,My Beautiful Dark Twisted Fantasy,2010-11-22,66,0.419,0.581,10,-5.964,0,0.0688,0.306,6.3e-05,0.11,0.636,80.305,469867,1
Lost In The World,Kanye West,My Beautiful Dark Twisted Fantasy,2010-11-22,68,0.608,0.746,5,-5.249,0,0.184,0.115,0.0087,0.427,0.277,117.072,256587,4
redrum,21 Savage,american dream,2024-01-12,97,0.624,0.74,2,-8.445,1,0.0481,0.00529,0.000224,0.5,0.246,172.089,270698,4
dangerous,21 Savage,american dream,2024-01-12,81,0.755,0.835,5,-4.68,0,0.277,0.0635,0.0,0.151,0.575,151.953,265305,4
just like me,21 Savage,american dream,2024-01-12,78,0.706,0.65,1,-4.69,1,0.111,0.471,2.69e-05,0.306,0.482,82.984,231338,4
GET OFF ME (with Travis Scott),Kid Cudi,INSANO,2024-01-12,79,0.78,0.41,5,-8.164,1,0.0451,0.0185,0.0,0.153,0.0585,121.919,215240,4
mop (feat. Young Thug),Gunna,DS4EVER,2022-01-13,58,0.878,0.575,9,-8.732,1,0.284,0.00293,0.0,0.273,0.399,144.918,185213,4
P power (feat. Drake),Gunna,DS4EVER,2022-01-13,81,0.828,0.591,1,-6.217,1,0.109,0.0199,0.000323,0.361,0.202,119.251,193347,4
RAGER BOYZ (with Young Thug),Kid Cudi,INSANO,2024-01-12,66,0.822,0.693,0,-5.255,1,0.0843,0.152,0.000107,0.122,0.62,149.952,169467,4
red sky,21 Savage,american dream,2024-01-12,80,0.681,0.621,0,-8.202,0,0.0774,0.178,0.0,0.159,0.395,114.936,176835,4
née-nah,21 Savage,american dream,2024-01-12,89,0.678,0.758,1,-6.524,1,0.227,0.00495,0.0,0.57,0.318,165.423,220584,4
Levels,BigXthaPlug,AMAR,2023-02-10,78,0.8,0.555,5,-7.487,1,0.244,0.116,0.0,0.562,0.502,121.932,157377,4
south to west,Gunna,DS4EVER,2022-01-13,70,0.884,0.675,5,-7.209,0,0.185,0.134,0.0,0.13,0.452,133.963,122693,4
all of me,21 Savage,american dream,2024-01-12,86,0.653,0.805,5,-5.708,0,0.304,0.12,1.17e-05,0.842,0.791,159.947,198293,4
Reflections,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,2018-11-02,86,0.648,0.594,11,-7.027,0,0.0293,0.114,0.0462,0.116,0.544,113.983,244013,4
Nightcrawler (feat. Swae Lee & Chief Keef),Travis Scott,Rodeo,2015-09-04,86,0.522,0.728,3,-3.801,0,0.0323,0.00134,0.0,0.132,0.18,124.045,321560,4
Stars Align (with Drake),Majid Jordan,Wildest Dreams,2021-10-22,70,0.763,0.667,2,-6.285,1,0.085,0.021,2.4e-05,0.0715,0.75,95.864,260520,4
John Redcorn,SiR,Chasing Summer,2019-08-30,69,0.734,0.435,6,-6.126,0,0.0869,0.226,0.00277,0.216,0.651,143.967,187893,4
Family Affair,Mary J. Blige,No More Drama,2001-08-28,82,0.911,0.551,8,-3.75,0,0.0449,0.132,4.12e-05,0.0863,0.969,92.887,265867,4
Odd Look,Kavinsky,Odd Look,2013-01-01,63,0.556,0.893,10,-3.766,0,0.0621,0.239,0.0,0.123,0.26,104.995,253547,4
Come a Little Closer,Cage The Elephant,Melophobia,2013-10-08,75,0.44,0.778,1,-1.786,0,0.0327,0.0265,1.04e-06,0.151,0.304,148.038,229347,4
Can’t Take A Joke,Drake,Scorpion,2018-06-29,70,0.761,0.598,10,-7.249,0,0.182,0.126,0.0,0.0839,0.446,173.897,163974,4
Long Way 2 Go,Cassie,Cassie (U.S. Version),2006-08-07,78,0.589,0.655,8,-8.138,1,0.0488,0.057,0.000353,0.372,0.675,105.272,220640,4
Down Under,Men At Work,Business As Usual,1981-11-09,79,0.739,0.459,11,-14.42,0,0.0294,0.129,0.0194,0.0474,0.892,107.115,222320,4
Ballin' (with Roddy Ricch),Mustard,Perfect Ten,2019-06-28,79,0.809,0.545,7,-6.678,1,0.0735,0.392,0.0,0.151,0.244,97.008,180435,4
You Broke My Heart,Drake,For All The Dogs Scary Hours Edition,2023-11-17,83,0.465,0.7,10,-5.163,0,0.0893,0.203,0.0,0.299,0.276,120.854,230709,4
Evil Ways (feat. J. Cole),Drake,For All The Dogs Scary Hours Edition,2023-11-17,72,0.56,0.784,1,-5.304,1,0.301,0.0508,0.0,0.221,0.25,78.161,227692,4
In And Out Of Love,Armin van Buuren,Armin Anthems Top 100 (Ultimate Singles Collected),2014-11-28,62,0.526,0.705,5,-6.777,0,0.0301,0.067,6.4e-05,0.125,0.413,134.947,181680,4
Isn't She Lovely,Stevie Wonder,The Definitive Collection,2002-10-29,70,0.747,0.692,1,-8.956,0,0.0474,0.202,3.39e-05,0.0698,0.904,118.698,199387,4
Outside All Night (feat. A$AP Rocky & N3WYRKLA),Brent Faiyaz,Larger Than Life,2023-10-27,76,0.649,0.667,1,-7.799,0,0.123,0.0941,0.0,0.121,0.826,141.967,202817,4
Upset (feat. Tommy Richman & FELIX!),Brent Faiyaz,Larger Than Life,2023-10-27,72,0.86,0.486,11,-10.338,1,0.176,0.484,0.0,0.104,0.877,134.992,177778,4
Call Me Revenge - Call of Duty: Modern Warfare 3,21 Savage,Call Me Revenge (Call of Duty: Modern Warfare 3),2023-10-19,66,0.674,0.634,10,-8.245,0,0.154,0.0192,0.0,0.153,0.407,158.97,166140,4
Distant,Neb,Distant,2023-10-19,33,0.906,0.521,8,-11.498,1,0.0521,0.231,0.198,0.138,0.466,106.009,81250,4
Another Late Night (feat. Lil Yachty),Drake,For All The Dogs,2023-10-06,75,0.684,0.541,5,-8.04,0,0.0483,0.0347,0.0,0.138,0.214,158.046,170415,4
m y . l i f e (with 21 Savage & Morray),J. Cole,The Off-Season,2021-05-14,80,0.597,0.587,7,-7.026,0,0.137,0.0622,0.0,0.214,0.0753,140.021,218802,4
Do For Love,2Pac,R U Still Down? [Remember Me],1997-01-01,78,0.874,0.63,1,-3.585,1,0.298,0.0578,0.00479,0.0582,0.717,95.0,281600,4
Fuck All Y'All,2Pac,R U Still Down? [Remember Me],1997-01-01,51,0.732,0.719,10,-5.076,0,0.0954,0.0891,0.0,0.0596,0.863,84.989,272520,4
Mayonaka no Door / Stay With Me,Miki Matsubara,Miki Matsubara Best Collection,2008,78,0.658,0.747,5,-6.615,1,0.0431,0.176,8.49e-06,0.0789,0.792,108.259,312293,4
PARANOIA,HEARTSTEEL,PARANOIA,2023-10-23,77,0.589,0.908,8,-4.433,1,0.109,0.0151,0.0,0.338,0.501,170.019,198817,4
Stereo Colour Cloud (Shaman's Dream),Sampha,Lahai,2023-10-20,55,0.541,0.526,7,-11.355,1,0.13,0.194,0.168,0.624,0.436,113.348,177949,3
Euphoria,Loreen,Heal,2012-10-19,69,0.518,0.679,11,-5.406,0,0.0355,0.079,4.85e-05,0.0588,0.106,132.146,214133,4
Something Just Like This,The Chainsmokers,Memories...Do Not Open,2017-04-07,88,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160,4
NIGHT VISION,Offset,SET IT OFF,2023-10-13,57,0.474,0.802,11,-5.678,0,0.0913,0.00229,0.0,0.251,0.0728,90.025,192107,4
BIG DAWG,Offset,SET IT OFF,2023-10-13,59,0.868,0.734,1,-5.352,1,0.333,0.185,0.0,0.0856,0.894,146.011,105067,4
FAN,Offset,SET IT OFF,2023-10-13,67,0.638,0.846,5,-4.869,0,0.411,0.248,0.0,0.117,0.413,164.024,156307,4
BROAD DAY (feat. Future),Offset,SET IT OFF,2023-10-13,73,0.677,0.658,2,-6.223,1,0.293,0.0538,0.0,0.167,0.164,189.976,168427,4
SAY MY GRACE (feat. Travis Scott),Offset,SET IT OFF,2023-10-13,83,0.773,0.635,10,-5.06,1,0.0452,0.0585,0.0,0.132,0.476,121.879,173253,4
Emergency (feat. Gunna & Young Thug),21 Savage,Spiral: From The Book of Saw Soundtrack,2021-05-14,51,0.754,0.817,2,-5.283,1,0.254,0.073,0.0,0.379,0.269,142.783,177280,4
I Really Want to Stay at Your House,Various Artists,"Cyberpunk 2077: Radio, Vol. 2 (Original Soundtrack)",2020-12-18,77,0.49,0.738,3,-7.399,0,0.0367,0.00237,4.58e-06,0.0851,0.126,124.966,246653,4
GODS,League of Legends,GODS,2023-10-04,83,0.588,0.765,3,-5.914,0,0.0518,0.00685,3.23e-05,0.2,0.492,145.988,220878,4
Mirage - for Assassin's Creed Mirage,OneRepublic,Mirage (for Assassin's Creed Mirage),2023-09-22,70,0.542,0.67,1,-6.066,1,0.0383,0.0139,2.87e-05,0.165,0.415,167.027,133184,4
Take Da Charge,Project Pat,Layin' Da Smack Down (Explicit Version),2002-07-16,66,0.911,0.666,2,-7.133,1,0.233,0.0669,4.12e-05,0.116,0.824,145.734,186907,4
Pussy & Millions (feat. Travis Scott),Drake,Her Loss,2022-11-04,79,0.749,0.63,4,-6.652,0,0.116,0.0623,0.0,0.353,0.445,122.03,242027,4
Latch,Disclosure,Settle (Deluxe),2013-06-03,74,0.729,0.735,1,-5.455,1,0.0919,0.0178,0.000193,0.089,0.544,121.986,255867,4
Skyfall,Adele,Skyfall,2012-10-04,89,0.346,0.552,0,-6.864,0,0.0282,0.417,0.0,0.114,0.0789,75.881,286480,4
Mirror,Lil Wayne,Tha Carter IV (Complete Edition),2011-08-29,78,0.328,0.622,5,-7.291,0,0.0866,0.858,0.0,0.104,0.401,74.267,228093,4
Lonely,Akon,Trouble Deluxe Edition,2005-01-01,80,0.634,0.526,5,-7.881,0,0.0333,0.339,0.0,0.257,0.623,90.087,235800,4
Fear Of Heights,Drake,For All The Dogs,2023-10-06,72,0.581,0.325,10,-9.238,1,0.22,0.0128,0.0,0.16,0.0666,136.934,155154,4
Daylight,Drake,For All The Dogs,2023-10-06,75,0.566,0.564,10,-7.88,0,0.277,0.0149,0.0,0.104,0.0667,139.92,164143,4
IDGAF (feat. Yeat),Drake,For All The Dogs,2023-10-06,91,0.663,0.67,8,-8.399,1,0.271,0.0464,8.92e-05,0.205,0.138,136.952,260111,4
First Person Shooter (feat. J. Cole),Drake,For All The Dogs,2023-10-06,89,0.47,0.64,2,-7.779,1,0.32,0.0277,0.0,0.382,0.248,163.92,247444,4
90210 (feat. Kacy Hill),Travis Scott,Rodeo,2015-09-04,84,0.402,0.526,9,-6.741,0,0.0904,0.113,8.33e-06,0.105,0.312,81.404,339067,4
Maria I'm Drunk (feat. Justin Bieber & Young Thug),Travis Scott,Rodeo,2015-09-04,75,0.648,0.631,4,-5.662,0,0.103,0.377,0.0,0.12,0.142,105.989,349933,4
Keep It Thoro,Mobb Deep,Life Of The Infamous: The Best Of Mobb Deep,2006-10-31,33,0.806,0.54,10,-6.433,0,0.311,0.0412,0.0,0.245,0.793,88.887,186880,4
Moonlight,XXXTENTACION,?,2018-03-16,85,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,135090,4
changes,XXXTENTACION,?,2018-03-16,80,0.669,0.308,11,-10.068,1,0.029,0.883,0.0,0.0984,0.52,64.934,121887,4
Again,Fetty Wap,Fetty Wap (Deluxe),2015-09-25,70,0.748,0.733,11,-4.421,0,0.072,0.0062,0.0,0.329,0.291,93.019,312240,4
RGF Island,Fetty Wap,Fetty Wap (Deluxe),2015-09-25,62,0.746,0.764,0,-5.066,0,0.0423,0.00116,8.19e-06,0.0867,0.518,137.98,173893,4
X (feat. Future),21 Savage,Savage Mode,2016-07-15,75,0.835,0.413,1,-9.81,1,0.396,0.373,0.00133,0.101,0.111,149.004,258880,4
No Heart,21 Savage,Savage Mode,2016-07-15,76,0.906,0.444,4,-8.692,0,0.384,0.136,6.44e-05,0.173,0.678,140.063,235040,4
Superstar (feat. Matthew Santos),Lupe Fiasco,Lupe Fiasco's The Cool,2007-01-01,69,0.572,0.822,11,-6.015,0,0.361,0.207,0.0,0.359,0.472,94.812,289000,4
ball w/o you,21 Savage,i am > i was,2018-12-21,84,0.892,0.633,8,-7.471,1,0.0902,0.0467,0.000189,0.139,0.459,137.994,195047,4
I'M ON ONE (feat. Drake),Future,I NEVER LIKED YOU,2022-04-29,68,0.773,0.707,11,-5.71,1,0.0568,0.0103,1.04e-05,0.296,0.113,76.977,236187,4
Now Or Never - Bonus Track,Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",2012,61,0.528,0.708,7,-5.879,0,0.207,0.264,0.0,0.308,0.781,97.8,256013,4
Cooler Than Me - Single Mix,Mike Posner,31 Minutes to Takeoff,2010-08-09,79,0.768,0.82,7,-4.63,0,0.0474,0.179,0.0,0.689,0.625,129.965,213293,4
I'll Be Around (feat. Timbaland) - Club Mix,CeeLo Green,Cee-Lo Green... Is The Soul Machine,2004-03-02,67,0.543,0.69,6,-5.733,1,0.232,0.297,0.000931,0.0663,0.894,92.847,221400,4
Careless Whisper,George Michael,Ladies And Gentlemen... The Best Of George Michael,1998-11-09,84,0.574,0.628,2,-8.815,0,0.036,0.13,0.0,0.271,0.803,153.119,300107,4
Didn't Cha Know,Erykah Badu,Mama's Gun,2000-10-31,76,0.753,0.472,3,-9.761,0,0.121,0.48,0.0133,0.284,0.816,135.277,238733,4
Antisocial (with Travis Scott),Ed Sheeran,No.6 Collaborations Project,2019-07-12,65,0.716,0.823,5,-5.313,0,0.0495,0.132,0.0,0.361,0.91,151.957,161747,4
